,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,,Notes
277,83.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA MEDINA,11/11711/60,BENEFICIO SIEMBRAS VISION (154),11/11711/60,"SIEMBRAS VISION, S.A.",1500,ANTIGUA,FINCA MEDINA,100,69 kg,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.75,7.75,7.5,7.75,7.83,7.58,Sample,10,10,10,7.67,Sample  83.83,,11 %,0 full defects,7,Green,6 full defects,,"May 23rd, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
278,83.83,,,,,,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,優遊吧斯股份有限公司Yuyupas International Corp.,1,none,None,宸嶧國際,1200,台灣,鄭虞坪,167,30 kg,Blossom Valley International,2016,"February 23rd, 2016",CQI Taiwan ICP CQI台灣合作夥伴,,Completed,,Sample,7.75,7.67,7.5,7.75,7.75,7.67,Sample,10,10,10,7.75,Sample  83.83,,0 %,0 full defects,0,,0 full defects,,"February 22nd, 2017",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,,
279,83.83,,,,,,Arabica,Ipanema Coffees,Brazil,Rio Verde,,Ipanema Comercial e Exportadora SA,002/4177/0150,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,320,2 kg,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,Sample,7.25,7.58,7.42,8,7.75,7.83,Sample,10,10,10,8,Sample  83.83,,0 %,0 full defects,0,Green,0 full defects,,"October 7th, 2016",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,
280,83.83,,,,,,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,鄉舍咖啡 Hometown Coffee,,鄉舍咖啡 Hometown Coffee,Taiwan,Taiwan Coffee Laboratory,480-570M,"Dongshan Dist., Tainan City 臺南市東山區",ZENG JIAN NAN 曾建男,8,18 kg,Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Washed / Wet,Sample,7.67,7.75,7.67,7.75,7.42,7.75,Sample,10,10,10,7.83,Sample  83.83,,0 %,0 full defects,0,Green,1 full defects,,"April 29th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
281,83.83,,,,,,Arabica,yasmin Cofffee Plantation Plc,Ethiopia,,,,2014/2015,Yasmin Coffee Plantation Plc,1650-1703,Oromia,Sumeya Yasin,320,60 kg,METAD Agricultural Development plc,2014,"March 31st, 2015",yasmin Cofffee Plantation Plc,,Completed,Natural / Dry,Sample,7.75,7.75,7.67,7.67,7.58,7.67,Sample,10,10,10,7.75,Sample  83.83,,12 %,0 full defects,0,Green,4 full defects,,"March 30th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",,
282,83.83,,,,,,Arabica,Ipanema Coffees,Brazil,Rio Verde,,Ipanema Coffees,002/1660/0066,Ipanema Coffees,1200,South Minas Gerais,Ipanema Agrícola SA,300,2 kg,Specialty Coffee Association,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Completed,Semi-washed / Semi-pulped,Sample,7.67,7.67,7.58,7.5,7.83,8.17,Sample,10,10,9.33,8.08,Sample  83.83,,0 %,0 full defects,0,Green,1 full defects,,"October 16th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
283,83.83,,,,,,Arabica,Eric Thormaehlen,Costa Rica,VARIOS,,CORICAFE SA,5-0048-0145,CORICAFE S.A.,1200-1400,CENTRAL VALLEY - WEST VALLEY,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Completed,Washed / Wet,Sample,7.83,7.42,7.5,7.83,7.75,7.83,Sample,10,10,10,7.67,Sample  83.83,,10 %,0 full defects,0,Green,3 full defects,,"June 9th, 2015",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,
284,83.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,,BENEFICIO IXCHEL,11/23/0436,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250,69 kg,Asociacion Nacional Del Café,2014,"May 22nd, 2014",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.58,7.83,7.33,8,7.58,7.75,Sample,10,10,10,7.75,Sample  83.83,,10 %,0 full defects,0,Green,1 full defects,,"May 22nd, 2015",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
285,83.83,,,,,,Arabica,Ipanema Coffees,Brazil,Fazenda Rio Verde,,Ipanema Coffees,002/4177/0121,Ipanema Coffees,1260,South Minas,Ipanema Coffees,320,60 kg,Specialty Coffee Association,2013/2014,"December 26th, 2013",Ipanema Coffees,Yellow Bourbon,Completed,Natural / Dry,Sample,7.92,7.5,7.33,7.67,8.17,7.5,Sample,10,10,10,7.75,Sample  83.83,,10 %,0 full defects,0,Green,0 full defects,,"December 26th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
286,83.83,,,,,,Arabica,Garet Alban,Ecuador,Finca El Trueno,,,0,Sultana Del Cafe Inc.,800 meters above sea level,"Province of Manabi, Ecuador",,1,5 lbs,Specialty Coffee Association,2013,"October 4th, 2013",Garet Alban,,Completed,Natural / Dry,Sample,7.5,7.67,7.58,7.75,7.83,7.83,Sample,10,10,10,7.67,Sample  83.83,,9 %,0 full defects,0,Bluish-Green,0 full defects,,"October 4th, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
287,83.83,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,Trilladora Bonanza,3-68-0221,Exportadora de Cafe Condor S.A,1750 msnm,huila,,250,70 kg,Almacafé,2013,"September 3rd, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.67,7.58,7.58,7.83,7.58,7.67,Sample,10,10,10,7.92,Sample  83.83,,11 %,0 full defects,0,Green,1 full defects,,"September 3rd, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
288,83.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA EL MORITO,,BENEFICIO IXCHEL,11/23/0464,"UNEX (GUATEMALA), S.A.",4300,ORIENTE,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2013,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.5,7.83,7.5,7.83,7.83,7.67,Sample,10,10,10,7.67,Sample  83.83,,11 %,0 full defects,0,Green,3 full defects,,"April 26th, 2014",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,
289,83.83,,,,,,Arabica,FILEMON MENDOZA CAMPOS,Mexico,PREDIO CAÑADA DEL ENCINO,,COLONIA BALTAZAR R.LEYVA MANCILLA,1302922721,,1218,PETATLAN,FILEMON MENDOZA CAMPOS,20,1 kg,AMECAFE,2012,"July 26th, 2012",FILEMON MENDOZA CAMPOS,Bourbon,Completed,Natural / Dry,Sample,7.67,8,7.67,7.42,7.67,7.5,Sample,10,10,10,7.92,Sample  83.83,,10 %,0 full defects,0,Green,2 full defects,,"July 26th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
290,83.83,,,,,,Arabica,ALFREDO BOJALIL,Mexico,FINCA SANTA TERESA,,AGROINDUSTRIAS UNIDAS DE MEXICO,222,ECOMTRADING,1300,"LA CONCORDIA, CHIAPAS",ERNST POHLENZ AGUILAR,250,1 kg,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Pacas,Completed,Natural / Dry,Sample,7.67,7.58,7.5,7.75,7.75,7.75,Sample,10,10,10,7.83,Sample  83.83,,11 %,0 full defects,0,,4 full defects,,"June 6th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
291,83.83,,,,,,Arabica,Jacques Pereira Carneiro,Brazil,Fazenda do Sertão,,Cocarive,002/1352/0052,Exportadora de Cafés Carmo de Minas LTDA,1.250 m,Carmo de Minas,Nazareth Dias Pereira,300,1 kg,NUCOFFEE,2011/2012,"December 21st, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Completed,Semi-washed / Semi-pulped,Sample,7.83,7.83,7.58,7.67,7.5,7.58,Sample,10,10,10,7.83,Sample  83.83,,12 %,0 full defects,0,Green,3 full defects,,"December 20th, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,
292,83.83,,,,,,Arabica,Doi Chaang Coffee Company,Thailand,"Doi Chaang Coffee Original Co.,Ltd",,Premium Grade A,Thailand/Organic/FT/FLO 19467/2011-A/140,,4921ft,"Doi Chaang Villiang, Chiang Rai, Thialand",Doi Chaang Community Enterprise Piko,175,50 kg,Specialty Coffee Association,2011,"September 20th, 2011",Doi Chaang Coffee Company,,Completed,,Sample,7.75,7.75,7.58,8,7.67,7.58,Sample,10,10,10,7.5,Sample  83.83,,2 %,0 full defects,0,,2 full defects,,"September 19th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
293,83.83,,,,,,Arabica,Doi Tung Development Project,Thailand,Doi Tung Development Project,,,,,,,,1,60 kg,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,,Completed,,Sample,7.5,7.83,7.58,7.58,7.75,7.83,Sample,10,10,10,7.75,Sample  83.83,,1 %,0 full defects,0,,0 full defects,,"August 15th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
294,83.83,,,,,,Arabica,Ethiopia Commodity Exchange,Ethiopia,"Phone number | 0911-51-08-01, Email | at",,,010/0170,,,Sidamo,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,Sample,7.58,7.83,7.58,8,7.83,7.5,Sample,10,10,10,7.5,Sample  83.83,,10 %,0 full defects,0,,3 full defects,,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,
295,83.75,,,,,,Arabica,Kennedy Macharia,Kenya,,sc 9693,SASINI MILLS,37-0985-4132,TAYLOR WINCH (COFFEE) LTD,1800,NYERI COUNTY,KAROGOTO,200,60 kg,Kenya Coffee Traders Association,,"January 11th, 2018",Kennedy Macharia,SL28,Completed,Washed / Wet,Sample,7.75,7.58,7.5,7.58,7.75,7.75,Sample,10,10,10,7.83,Sample  83.75,,11 %,0 full defects,0,Green,2 full defects,,"January 11th, 2019",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
296,83.75,,,,,,Arabica,Ipanema Coffees,Brazil,Fazenda Capoeirinha,019/17,Dry mill,002/1660/0079,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Completed,Natural / Dry,Sample,7.67,7.67,7.58,7.75,7.67,7.67,Sample,10,10,10,7.75,Sample  83.75,,11 %,0 full defects,0,Green,5 full defects,,"October 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,
297,83.75,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-0075,NEIVA,3-59-0075,CARCAFE LTDA CI,442,HUILA,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,Almacafé,2017,"September 28th, 2017",CARCAFE LTDA CI,Caturra,Completed,Washed / Wet,Sample,7.83,7.83,7.58,7.58,7.58,7.58,Sample,10,10,10,7.75,Sample  83.75,,11 %,0 full defects,0,Green,1 full defects,,"September 28th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
298,83.75,,,,,,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,崁頭山咖啡館 (Kan Tou Mountain Coffee),2017台南市精品咖啡評鑑批次 Specialty Coffee Evaluation of Tainan 2017,崁頭山咖啡館 (Kan Tou Mountain Coffee),Taiwan,Taiwan Coffee Laboratory,750,"台南市東山區 (Dongshan Dist., Tainan City)",曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong),10,10 kg,Specialty Coffee Association,2016,"June 6th, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Completed,Natural / Dry,Sample,7.67,7.67,7.58,7.58,7.67,7.83,Sample,10,10,10,7.75,Sample  83.75,,0 %,0 full defects,0,Green,0 full defects,,"June 6th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
299,83.75,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1510,Bachue,3-37-1510,Racafe & Cia S.C.A,,Huila,La Plata,275,70 kg,Almacafé,2016,"February 15th, 2017",Racafe & Cia S.C.A,,Completed,Washed / Wet,Sample,7.92,7.75,7.5,7.67,7.75,7.5,Sample,10,10,10,7.67,Sample  83.75,,0 %,1 full defects,0,Green,4 full defects,,"February 15th, 2018",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
300,83.75,,,,,,Arabica,Yunnan Coffee Exchange,China,Pu’er Specialty Coffee Cupping Center,YNC-16063,Pu’er Specialty Coffee Cupping Center,,Yunnan Coffee Exchange,1650,Yunnan Province Pu'er City Menglian County,Pu’er Specialty Coffee Cupping Center,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Completed,Washed / Wet,Sample,7.83,7.75,7.67,7.5,7.58,7.67,Sample,10,10,10,7.75,Sample  83.75,,10 %,0 full defects,1,Green,2 full defects,,"April 6th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,,
301,83.75,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,,NEIVA,3-59-0708,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN,250,70 kg,Almacafé,2015/2016,"November 27th, 2015",CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.75,7.67,7.5,7.67,7.58,7.83,Sample,10,10,10,7.75,Sample  83.75,,0 %,0 full defects,0,Green,0 full defects,,"November 26th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
302,83.75,,,,,,Arabica,Nile Highland Arabica Coffee Farmers,Uganda,Erussi Farmers group,,Nile Highland Arabica Coffee Farmers,0,Nile Highlands Arabica Coffee Farmers,1400,West Nile,Nile Highland Arabica Coffee Farmers,320,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Nile Highland Arabica Coffee Farmers,Bourbon,Completed,Natural / Dry,Sample,8,7.92,7.58,7.75,7.33,7.5,Sample,10,10,10,7.67,Sample  83.75,,12 %,0 full defects,0,Green,0 full defects,,"June 30th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,
303,83.75,,,,,,Arabica,German Negron,United States (Puerto Rico),Hacienda Caracolillo,,Hacienda Alto Grande,,"Hacienda Alto Grande, LLC.",2800 ft,Yauco Region,Hacienda Alto Grande,18,5 lbs,Specialty Coffee Association,2013,"June 9th, 2014",German Negron,Other,Completed,Washed / Wet,Sample,7.83,7.83,7.83,7.67,8,8.17,Sample,9.33,9.33,10,7.75,Sample  83.75,,12 %,0 full defects,0,Green,1 full defects,,"June 9th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
304,83.75,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-1419,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,100,70 kg,Almacafé,2014,"February 5th, 2014",Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.67,7.67,7.67,7.92,7.5,7.67,Sample,10,10,10,7.67,Sample  83.75,,0 %,0 full defects,0,Green,5 full defects,,"February 5th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
305,83.75,,,,,,Arabica,Olam Agro Colombia,Colombia,,,Trilladora Asia,3-259-0471,Olam international Ltd,1500-1600,Huila,,250,70 kg,Almacafé,2014,"January 24th, 2014",Olam Agro Colombia,Other,Completed,Washed / Wet,Sample,7.67,7.42,7.42,7.42,8,8.33,Sample,10,10,10,7.5,Sample  83.75,,0 %,0 full defects,0,Green,3 full defects,,"January 24th, 2015",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
306,83.75,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,bonanza-Armenia,3-68-0049,Exportadora de Cafe Condor S.A,1750 msnm,Huila,,250,70 kg,Almacafé,2013,"November 22nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.58,7.67,7.75,7.67,7.67,7.67,Sample,10,10,10,7.75,Sample  83.75,,0 %,0 full defects,0,Blue-Green,1 full defects,,"November 22nd, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
307,83.75,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,trilladora Bonanza,3-68-0260,Exportadora de Cafe Condor S.A,1750,huila,,275,70 kg,Almacafé,2013,"August 27th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.67,7.75,7.58,7.42,8,Sample,10,10,10,7.58,Sample  83.75,,11 %,0 full defects,0,Green,3 full defects,,"August 27th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
308,83.75,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,K#13150104,Kona Pacific Farmers Cooperative,,KONA,,12,100 lbs,Specialty Coffee Association,2013,"May 2nd, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.25,7.42,7.67,7.58,7.83,8.25,Sample,10,10,10,7.75,Sample  83.75,,0 %,0 full defects,0,Bluish-Green,0 full defects,,"May 2nd, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
309,83.75,,,,,,Arabica,SAUL M. HERNANDEZ RAMIREZ,Mexico,NARANJAL,,EN AHUATITLAN,0,,700,"HUAZALINGO, HIDALGO","MARTINEZ MAGDALENA, AGAPITA",10,1 kg,AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Caturra,Completed,Natural / Dry,Sample,7.83,7.58,7.58,7.5,7.75,7.67,Sample,10,10,10,7.83,Sample  83.75,,13 %,5 full defects,0,None,5 full defects,,"September 27th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,
310,83.75,,,,,,Arabica,The Coffee Source Inc.,Guatemala,Several farms,,Florencia,11-10170-005,The Coffee Source Inc.,1300 mts,Quetzaltenango,Several producres,250,3 lbs,Specialty Coffee Association,2012,"May 24th, 2012",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,7.67,7.58,7.58,7.67,7.75,7.75,Sample,10,10,10,7.75,Sample  83.75,,11 %,0 full defects,0,Bluish-Green,1 full defects,,"May 24th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
311,83.75,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,,,3-059-1329,,1600 m.s.n.m,Cauca,Carlos Peneche/Jesus Peneche/Flor Chacón,275,70 kg,Almacafé,January 2011,"April 20th, 2011",CARCAFE LTDA CI,,Completed,,Sample,7.83,7.83,7.58,7.33,7.42,7.67,Sample,10,10,10,8.08,Sample  83.75,,10 %,0 full defects,0,,1 full defects,,"April 19th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
312,83.75,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,Trilladora Bonanaza,3-68-0124,,1600 msnm,cundinamarca,,250,70 kg,Almacafé,4T/10,"February 9th, 2011",Exportadora de Cafe Condor S.A,,Completed,,Sample,7.75,7.67,7.25,7.25,7.58,8.5,Sample,10,10,10,7.75,Sample  83.75,,6 %,0 full defects,0,,1 full defects,,"February 9th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,
313,83.75,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,HDOA 210689,,,Kona,,4,1,Specialty Coffee Association,,"June 29th, 2010",Kona Pacific Farmers Cooperative,,Completed,,Sample,7.83,7.67,7.75,7.67,7.58,7.5,Sample,10,10,10,7.75,Sample  83.75,,0 %,0 full defects,0,,0 full defects,,"June 29th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
314,83.67,,,,,,Arabica,Ipanema Coffees,Brazil,Fazenda Capoeirinha,020/17,Dry mill,002/1660/0080,Ipanema Coffees,890,South of Minas Gerais,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Completed,Natural / Dry,Sample,7.67,7.83,7.5,7.67,7.67,7.5,Sample,10,10,10,7.83,Sample  83.67,,11 %,0 full defects,0,Green,2 full defects,,"October 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,
315,83.67,,,,,,Arabica,Kennedy Macharia,Kenya,,SC 9634,SASINI / KOFINAF MILLS,37-0985-4045,TAYLOR WINCH (COFFEE) LTD,1700,MERU COUNTY,NCHOROIBORO / KIRIANI FACTORY,200,60 kg,Kenya Coffee Traders Association,2017,"September 1st, 2017",Kennedy Macharia,SL28,Completed,Washed / Wet,Sample,8.08,7.67,7.67,7.58,7.25,7.67,Sample,10,10,10,7.75,Sample  83.67,,11 %,0 full defects,0,Bluish-Green,0 full defects,,"September 1st, 2018",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,
316,83.67,,,,,,Arabica,Bismarck Castro,Honduras,Los Hicaques,103,CIGRAH S.A. DE C.V.,13 / 111 / 053,CIGRAH S.A DE C.V,1400,Comayagua,Reinerio Zepeda,285,69 kg,Instituto Hondureño del Café,2016,"May 11th, 2017",Bismarck Castro,Caturra,Completed,Washed / Wet,Sample,7.5,7.5,7.67,7.67,8,8,Sample,10,10,10,7.33,Sample  83.67,,10 %,0 full defects,0,Green,2 full defects,,"May 11th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,
317,83.67,,,,,,Arabica,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Nicaragua,SANTA MATILDE,606118 / K1730101,DRY MILL,017/001/1412,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",1250,"JINOTEGA, NICARAGUA",RONALDO LACAYO CARDENAL,275,69 kg,Instituto Hondureño del Café,2016,"May 11th, 2017","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Caturra,Completed,Washed / Wet,Sample,7.67,7.75,7.67,7.67,7.83,7.58,Sample,10,10,10,7.5,Sample  83.67,,10 %,0 full defects,0,Green,3 full defects,,"May 11th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,
318,83.67,,,,,,Arabica,Ipanema Coffees,Brazil,Capoeirinha Farm,008/16A,Dry mill,002/1660/0106,Ipanema Coffees,934,South of Minas Gerais,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Completed,Natural / Dry,Sample,7.58,7.75,7.58,7.75,7.58,7.58,Sample,10,10,10,7.83,Sample  83.67,,11 %,0 full defects,2,Green,3 full defects,,"August 16th, 2017",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,
319,83.67,,,,,,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,Tsoustructive Garden 鄒築園,Tsoustructive 2015 Caturra,Tsoustructive Garden 鄒築園,Taiwan,Taiwan Coffee Laboratory,1200,"Leye, Alishan Township, Chiayi County","FANG,ZHENG-LUN 方政倫",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Caturra,Completed,Natural / Dry,Sample,7.5,7.67,7.33,7.92,7.83,7.67,Sample,10,10,10,7.75,Sample  83.67,,10 %,0 full defects,0,Bluish-Green,0 full defects,,"May 18th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,
